metric,value
total_ratings,77
five_star,53
below_five_star,24
unique_users,75
,
stars,count
5,53
4,7
3,7
2,5
1,5
,
lessonId,count,avg_stars
greetings,57,4.35
ee_about_me_daily_routine,7,3.43
polite_expressions,2,5.00
introductions,2,5.00
yes_no_maybe,2,5.00
pron_silent_1,2,5.00
wants_needs,1,4.00
likes_dislikes,1,5.00
meet_people,1,1.00
ee_about_me_family,1,5.00
ee_about_me_food,1,2.00
